EMPIN,TOTINC,INCTAX,CIP,HRSWRK,NOCS,HHSIZE,CF_RP,COW,MODE,YEAR,CITIZEN,AGEGRP,CFSTAT,POWST,GENSTAT,LFTAG,PR,ATTSCH,CMA,KOL,MARSTH,EFSIZE,SEX,CFSIZE,BEDRM,ROOM,CONDO,REPAIR,DTYPE,PID,SIM_HH_ID
120970.875,136771.16,24877.738,3,5,6,1,1,1,9,2025,1,8,2,1,4,1,2,1,462,3,3,4,1,4,2,3,1,1,3,3c287597,100
18970.875,36771.152,3877.7388,13,0,99,1,3,9,9,2025,1,9,5,9,4,14,2,1,999,2,1,1,2,1,2,1,1,2,1,f6cc2846,101
53970.875,59771.152,8877.738,13,5,10,1,3,1,2,2025,1,11,5,6,4,1,3,1,999,1,1,1,2,1,2,3,0,2,1,0cb9e949,102
10970.876,51771.152,7877.739,6,0,99,1,3,9,9,2025,1,12,5,9,4,13,5,1,999,1,1,1,2,1,2,2,0,1,1,9f9c36fa,103
10970.876,41771.152,2877.7388,10,0,99,1,3,9,9,2025,1,12,5,9,4,13,4,1,999,1,3,1,1,1,3,4,0,1,1,a1b98a18,104
60970.875,74771.16,12877.738,1,5,5,1,3,1,2,2025,1,9,5,4,4,1,3,1,999,3,1,1,1,1,2,2,0,2,2,4d589cd4,105
19970.875,51771.152,4877.739,11,2,7,1,3,2,7,2025,1,11,5,4,4,1,2,1,462,2,3,1,1,1,3,3,0,1,1,78dd7e7b,106
60970.875,66771.16,12877.738,8,5,8,1,3,1,2,2025,1,8,5,5,4,1,3,1,999,1,1,1,2,1,2,2,0,1,1,b44c7e9a,107
10970.876,29771.152,2877.7388,13,0,99,1,1,9,9,2025,1,13,5,9,4,14,2,1,462,2,3,1,1,1,3,4,0,1,1,d1495afd,108
43970.875,50771.152,8877.738,13,7,8,1,3,1,2,2025,1,8,5,5,4,1,2,1,999,2,1,1,2,1,2,2,0,1,1,83597da7,109
24970.875,65771.16,5877.739,3,0,7,1,3,1,9,2025,1,12,5,9,4,11,1,1,999,3,3,1,1,1,1,1,0,2,1,907932af,110
10970.876,46771.152,5877.739,13,0,99,1,3,9,9,2025,1,13,5,9,4,13,5,1,933,1,3,1,2,1,2,2,0,2,1,572e9f27,111
