EPINO,WGHT_EPI,end,occPRE,start,occACT,Alone,Spouse,Children,parents,otherHHs,others,otherInFAMs,friends,PR,REGION,DDAY,HHSIZE,AGEGRP,SEX,MARSTH,KOL,ATTSCH,HDGREE,NOCS,NAICS,LFTAG,COW,HRSWRK,MODE,POWST,TOTINC,CMA,PHSDFLG,CXRFLAG,PARNUM,SIM_HH_ID,Day_Type,AgentID,DTYPE,BEDRM,CONDO,ROOM,REPAIR
1.0,2251.4387,800,3,400,5,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
2.0,2251.4387,1000,3,800,9,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
3.0,2251.4387,1100,3,1000,6,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
4.0,2251.4387,1300,10,1100,13,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
5.0,2251.4387,1500,5,1300,6,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
6.0,2251.4387,1730,5,1500,4,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
7.0,2251.4387,1745,10,1730,13,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
8.0,2251.4387,1915,3,1745,9,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
9.0,2251.4387,2130,10,1915,13,2,2,2,2,2,2,2.0,1.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
10.0,2251.4387,2230,1,2130,7,1,2,2,2,2,2,2.0,2.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
11.0,2251.4387,400,1,2230,5,1,2,2,2,2,2,2.0,2.0,2,2.0,6.0,1,2,1,1,3,1.0,7.0,5,15.0,1.0,1,2,4,6.0,3.0,1.0,2.0,2.0,0.0,145,Weekday,0,2,2,0,2,1
1.0,1387.7475,1000,1,400,5,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
2.0,1387.7475,1115,1,1000,10,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
3.0,1387.7475,1215,1,1115,6,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
4.0,1387.7475,1300,1,1215,7,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
5.0,1387.7475,1320,12,1300,13,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
6.0,1387.7475,1350,13,1320,13,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
7.0,1387.7475,1550,9,1350,9,2,2,2,2,2,2,2.0,1.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
8.0,1387.7475,1605,12,1550,13,2,2,2,2,2,2,2.0,1.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
9.0,1387.7475,1655,7,1605,6,2,2,2,2,2,2,2.0,1.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
10.0,1387.7475,1730,13,1655,13,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
11.0,1387.7475,1800,1,1730,10,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
12.0,1387.7475,1930,1,1800,10,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
13.0,1387.7475,2000,1,1930,2,1,2,2,2,2,2,2.0,2.0,2,2.0,7.0,1,2,1,1,3,2.0,6.0,5,16.0,1.0,1,2,4,2.0,2.0,1.0,2.0,2.0,0.0,145,Weekend,0,2,2,0,2,1
