EMPIN,TOTINC,INCTAX,CIP,HRSWRK,NOCS,HHSIZE,CF_RP,COW,MODE,YEAR,CITIZEN,AGEGRP,CFSTAT,POWST,GENSTAT,LFTAG,PR,ATTSCH,CMA,KOL,MARSTH,EFSIZE,SEX,CFSIZE,BEDRM,ROOM,CONDO,REPAIR,DTYPE
10970.876,26771.152,2877.7388,13,0,99,2,2,9,9,2025,1,12,1,9,4,13,2,1,999,2,2,2,1,2,3,4,0,1,1
100970.875,99771.16,18877.738,7,5,2,4,1,1,2,2025,2,11,1,6,1,1,3,1,535,1,2,4,2,4,3,4,0,1,3
10970.876,16771.152,2877.7388,99,99,99,3,2,9,9,2025,1,2,4,9,4,99,1,9,999,1,1,3,2,3,2,2,0,1,2
10970.876,24771.152,2877.7388,13,0,99,2,2,9,9,2025,2,13,1,9,1,13,3,1,999,1,2,2,1,2,2,1,1,2,2
17970.875,74771.16,15877.738,5,0,99,3,1,9,9,2025,1,13,1,9,4,13,3,1,535,1,2,3,2,3,2,2,0,1,1
27970.875,42771.152,2877.7388,10,0,7,3,3,1,2,2025,1,10,7,4,4,2,4,1,999,1,1,3,1,3,2,3,0,1,3
18970.875,46771.152,3877.7388,13,0,7,3,1,1,9,2025,1,6,1,9,4,3,2,1,462,3,2,3,1,3,2,3,0,1,1
10970.876,16772.152,2877.7388,99,99,99,2,2,9,9,2025,1,1,3,9,2,99,1,9,999,1,1,2,2,2,1,1,1,1,2
10970.876,16771.152,2877.7388,99,99,99,5,2,9,9,2025,1,1,3,9,1,99,2,9,462,2,1,5,2,5,2,2,0,1,1
10970.876,16772.152,2877.7388,99,99,99,2,2,9,9,2025,1,1,3,9,2,99,2,9,462,2,1,2,1,2,2,2,0,1,1
89970.875,87771.16,15877.738,5,5,2,2,2,1,9,2025,1,11,1,1,4,1,2,1,999,2,2,2,1,2,3,4,0,1,1
14970.876,27771.152,2877.7388,4,0,5,4,2,1,9,2025,3,6,1,9,1,12,5,1,933,1,2,4,1,4,2,4,0,1,3
40970.875,45771.152,6877.739,13,5,8,2,1,1,2,2025,1,11,1,6,4,1,2,1,462,2,2,2,2,2,1,1,0,3,2
130970.875,136771.16,37877.74,8,5,8,4,1,1,2,2025,1,9,1,4,4,1,2,1,462,3,2,4,2,4,3,4,0,2,3
120970.875,136771.16,24877.738,3,5,6,1,1,1,9,2025,1,8,2,1,4,1,2,1,462,3,3,4,1,4,2,3,1,1,3
82970.875,112771.16,26877.738,4,1,7,4,1,1,9,2025,1,7,1,1,3,1,3,1,535,1,2,4,2,4,3,3,0,1,1
44970.875,68771.16,7877.739,10,4,4,3,1,1,2,2025,1,6,2,4,4,1,1,2,999,1,3,3,1,3,3,4,0,1,1
18970.875,36771.152,3877.7388,13,0,99,1,3,9,9,2025,1,9,5,9,4,14,2,1,999,2,1,1,2,1,2,1,1,2,1
53970.875,59771.152,8877.738,13,5,10,1,3,1,2,2025,1,11,5,6,4,1,3,1,999,1,1,1,2,1,2,3,0,2,1
66970.875,88771.16,15877.738,5,5,2,4,1,2,2,2025,1,7,1,6,4,1,4,1,999,1,2,4,1,4,3,4,0,2,1
